Geometry,Verwaltungseinheit,Name,Verwaltungsebene,Planungsregion,Anzahl Photovoltaik Anlagen,Photovoltaik-Potenzial (Stromproduktion) (MWh),Photovoltaik-Potenzial (Leistung) (MWp),Installierte Photovoltaik Leistung (MWp),Verbleibendes Photovoltaik-Potenzial (Leistung) (MWp),Ausbaugrad (Photovoltaik) (%),Anteil denkmalgeschützt (%),Solarthermie-Potenzial (Warmwasserbereitung) (MWh),Anteil Wohngebäude (%),Anteil öffentliche Gebäude (%),Anteil Gewerbe/Handel/Dienstleistungen (%),Anteil Industrie (%),Anteil unbeheizt (%),Anteil Sonstige (%),Anteil Sonstige (%),Ostwert_UTM32N,Nordwert_UTM32N
SRID=31468;POINT (4560558.136690768 5440020.888762237),276135,Prackenbach,Gemeinde,12,540,29474.0,31,8.0,23.0,27.0,2.1,4112.0,38.6,0.9,3.2,3.2,47.8,6.4,31.12.2024,779410.0,5445016.0
SRID=31468;POINT (4563086.649553349 5434865.386713928),276128,Kollnburg,Gemeinde,12,575,39065.0,40,10.0,30.0,26.0,3.1,4653.0,33.0,1.0,2.6,4.5,54.6,4.1,31.12.2024,782142.0,5439962.0
SRID=31468;POINT (4564682.740860776 5438671.15730768),276144,Viechtach,Gemeinde,12,1126,80413.0,81,16.0,64.0,20.2,8.6,12779.0,38.8,3.7,5.9,16.6,29.6,5.4,31.12.2024,783587.0,5443830.0
SRID=31468;POINT (4568582.633478966 5426414.894948056),276111,Achslach,Gemeinde,12,155,11325.0,12,3.0,9.0,23.0,2.2,1569.0,36.1,1.0,4.3,6.0,47.5,5.2,31.12.2024,787971.0,5431731.0
SRID=31468;POINT (4570930.46888244 5425436.845581855),276123,Gotteszell,Gemeinde,12,155,10259.0,11,2.0,8.0,20.9,9.2,1710.0,47.4,1.6,1.3,11.6,34.4,3.8,31.12.2024,790357.0,5430846.0
SRID=31468;POINT (4571489.16735235 5434980.771087003),276122,Geiersthal,Gemeinde,12,331,22835.0,23,5.0,18.0,23.8,2.2,2896.0,41.0,1.5,5.1,9.3,37.2,5.9,31.12.2024,790538.0,5440410.0
SRID=31468;POINT (4572244.847844891 5431305.088146484),276134,Patersdorf,Gemeinde,12,231,17146.0,17,3.0,14.0,18.3,2.5,2163.0,44.0,1.6,3.3,4.6,41.2,5.3,31.12.2024,791439.0,5436765.0
SRID=31468;POINT (4572286.304808205 5427802.724035677),276142,Ruhmannsfelden,Gemeinde,12,268,14765.0,15,4.0,11.0,25.2,3.2,2724.0,47.5,5.2,10.9,8.7,23.4,4.2,31.12.2024,791619.0,5433265.0
SRID=31468;POINT (4572601.898672101 5434134.541898618),276143,Teisnach,Gemeinde,12,455,28853.0,29,7.0,22.0,24.9,1.7,3617.0,37.7,2.5,4.9,20.5,30.2,4.3,31.12.2024,791684.0,5439608.0
SRID=31468;POINT (4572956.520272203 5444019.548506634),276113,Arnbruck,Gemeinde,12,357,21569.0,22,7.0,15.0,33.1,2.9,3480.0,38.5,2.4,1.9,12.0,40.3,4.9,31.12.2024,791647.0,5449505.0
SRID=31468;POINT (4573267.921381874 5426068.551414065),276146,Zachenberg,Gemeinde,12,360,20430.0,21,5.0,16.0,25.1,2.0,2666.0,40.0,0.5,4.5,4.5,44.8,5.7,31.12.2024,792669.0,5431570.0
SRID=31468;POINT (4574086.828726978 5441498.23729458),276120,Drachselsried,Gemeinde,12,368,23999.0,25,5.0,19.0,22.1,3.3,3530.0,35.4,1.6,12.2,7.4,38.2,5.1,31.12.2024,792877.0,5447029.0
SRID=31468;POINT (4575789.635653324 5435930.698588876),276118,Böbrach,Gemeinde,12,242,13367.0,13,3.0,11.0,20.7,5.7,2493.0,45.3,1.6,6.0,1.3,41.0,4.9,31.12.2024,794800.0,5441530.0
SRID=31468;POINT (4579374.079722195 5420656.223545294),276116,Bischofsmais,Gemeinde,12,540,31069.0,31,7.0,24.0,23.9,1.9,5151.0,41.7,1.7,7.7,7.1,37.1,4.6,31.12.2024,798988.0,5426400.0
SRID=31468;POINT (4580858.850189266 5437277.201071911),276117,Bodenmais,Gemeinde,12,353,30401.0,31,5.0,26.0,14.7,1.2,4515.0,32.4,1.8,24.8,15.5,20.3,5.1,31.12.2024,799815.0,5443077.0
